attributnamn	value	Definition
provtagningsmetod_tx	HVS_Pump_GF_X	Högvolymprovtagare, pumpning genom glasfiberfilter, porstorlek okänd (LUFT)
provtagningsmetod_tx	HVS_Pump_GF_X_PUF	Högvolymprovtagare, pumpning genom glasfiberfilter, porstorlek okänd, och polyuretanskum (PUF) (LUFT)
provtagningsmetod_tx	Hamtare	Insamling med hämtare (VATTEN)
provtagningsmetod_tx	Handplockat	Handplockat (DAMM/STOFT samt BIOTA)
provtagningsmetod_tx	Havskrap	Håvskrap (BIOTA)
provtagningsmetod_tx	InSitu	Provtagning In situ (VATTEN)
provtagningsmetod_tx	InsAggula	Insamling av äggula (LIVSMEDEL)
provtagningsmetod_tx	InsAgrolMendo46Bio_HydrOil	Insamling av Agrol mendo 46 bio (hydraulolja) (PRODUKTER)
provtagningsmetod_tx	InsAl-mix	Insamling av ål-mix  (LIVSMEDEL)
provtagningsmetod_tx	InsAska_Eavfall	Insamling av aska från e-avfall (PRODUKTER)
provtagningsmetod_tx	InsAtervinnIndPlast_ABS_HIPS_PP	Insamling av återvinningsindustri-plast  (ABS, HIPS, PP fraktion) (PRODUKTER)
provtagningsmetod_tx	InsAtervinnIndPlast_BFR	Insamling av återvinningsindustri-plast (BFR fraktion) (PRODUKTER)
provtagningsmetod_tx	InsBP2197TurboOil_Flygpl	Insamling av BP T 2197 Turbo oil 2197 (flygplats) (PRODUKTER)
provtagningsmetod_tx	InsBP2380TurboOil_Flygpl	Insamling av BP 2380 Turbo oil (flygplats) (PRODUKTER)
provtagningsmetod_tx	InsBinolVegocool_VattKr	Insamling av Binol Vegocool (vattenkraftsstation) (PRODUKTER)
provtagningsmetod_tx	InsBrostmjolk	Insamling av bröstmjölk (LIVSMEDEL)
provtagningsmetod_tx	InsCeralier	Insamling av ceralier  (LIVSMEDEL)
provtagningsmetod_tx	InsDodaDjur	Insamling av döda djur (BIOTA)
provtagningsmetod_tx	InsEavfall	Insamling av e-avfall (PRODUKTER)
provtagningsmetod_tx	InsFetter-mix	Insamling av fetter-mix  (LIVSMEDEL)
provtagningsmetod_tx	InsFisk	Insamling av fisk (LIVSMEDEL)
provtagningsmetod_tx	InsFodovaror	Insamling av födovaror (HUMAN EXPONERING)
provtagningsmetod_tx	InsFodovaror-Brostmjolk	Insamling av bröstmjölk (HUMAN EXPONERING)
provtagningsmetod_tx	InsFodovaror-Fisk	Insamling av födovaror-fisk (HUMAN EXPONERING)
provtagningsmetod_tx	InsFodovaror-Frukt	Insamling av födovaror-frukt (HUMAN EXPONERING)
provtagningsmetod_tx	InsFodovaror-Gronsaker	Insamling av födovaror-grönsaker (HUMAN EXPONERING)
provtagningsmetod_tx	InsFodovaror-HomogenatLax_LivsmV	Insamling av födovaror-homogenat av lax från LIVSMEDELsverket (HUMAN EXPONERING)
provtagningsmetod_tx	InsFodovaror-HomogenatStromming_LivsmV	Insamling av födovaror-homogenat av strömming från LIVSMEDELsverket (HUMAN EXPONERING)
provtagningsmetod_tx	InsFodovaror-Matfett	Insamling av födovaror-matfett (HUMAN EXPONERING)
provtagningsmetod_tx	InsFodovaror-Mjolkprod	Insamling av födovaror-mjölkPRODUKTER (HUMAN EXPONERING)
provtagningsmetod_tx	InsForbrant_Eavfall	Insamling av förbränt e-avfall (PRODUKTER)
provtagningsmetod_tx	InsFranDammsGlasfilter	Insamling från dammsugare med inbyggt glasfilter (DAMM/STOFT)
provtagningsmetod_tx	InsFranDammsugarpasar	Insamling från dammsugare med  vanliga dammsugarpåsar (DAMM/STOFT)
provtagningsmetod_tx	InsFrukt	Insamling av frukt (LIVSMEDEL)
provtagningsmetod_tx	InsGadda	Insamling av gädda (LIVSMEDEL)
provtagningsmetod_tx	InsGadda-Ostersjon	Insamling av gädda-Östersjön (LIVSMEDEL)
provtagningsmetod_tx	InsGroda-vetekarna	Insamling av gröda-vetekärna (LIVSMEDEL)
